t_sec,sabd_deg_abs,sabd_deg_zeroed,sabd_vel_deg_s,sabd_trq_Nm
1.36587,-5.397508948626593,-1.274204927010187,-0.013834065027492695,-9.714505195617676
1.372566,-5.397712796794187,-1.2744087751777817,-0.030443339317623185,-9.651617050170898
1.38039,-5.3979762608675586,-1.274672239251153,-0.033673048017706424,-9.630654335021973
1.387051,-5.398320122466299,-1.2750161008498937,-0.05162359793273852,-9.641136169433594
1.39643,-5.398985858595518,-1.2756818369791123,-0.07098224896349903,-9.599209785461426
1.403386,-5.399259693311082,-1.2759556716946765,-0.03936612430866986,-9.609691619873047
1.41258,-5.399417387142241,-1.276113365525835,-0.017152011482894504,-9.609691619873047
1.419323,-5.39951282793493,-1.2762088063185244,-0.014153650551228284,-9.609691619873047
1.426802,-5.399633382279936,-1.2763293606635306,-0.01611966244188522,-9.609691619873047
1.433805,-5.399692886880082,-1.2763888652636766,-0.00849693195827586,-9.599209785461426
1.442368,-5.39975022231869,-1.276446200702284,-0.006695686031109288,-9.599209785461426
1.449318,-5.39985405904804,-1.276550037431634,-0.014940235644046293,-9.599209785461426
1.455956,-5.3999361176017455,-1.2766320959853399,-0.01236229014914871,-9.620172500610352
1.463223,-5.400009256720115,-1.2767052351037096,-0.01006455697947893,-9.630654335021973
1.469642,-5.40006301899897,-1.2767589973825642,-0.008375565176570602,-9.588728904724121
1.476739,-5.400111624935178,-1.2768076033187725,-0.006848564655418655,-9.5782470703125
1.483311,-5.400180271567454,-1.276876249951048,-0.010445305435860327,-9.588728904724121
1.491383,-5.400321621393793,-1.2770175997773876,-0.017511346349703933,-9.5782470703125
1.498936,-5.40042852051304,-1.277124498896634,-0.014153011472580596,-9.504878044128418
1.505934,-5.40050971151051,-1.277205689894104,-0.011602321060701902,-9.546802520751953
1.513288,-5.400579022151924,-1.2772750005355187,-0.009424863041925515,-9.504878044128418
1.519719,-5.40059866479529,-1.2772946431788847,-0.0030544328640075918,-9.326693534851074
1.52892,-5.400538333150979,-1.2772343115345732,0.006556869304339532,-9.242841720581055
1.53594,-5.4005006209810675,-1.277196599364662,0.005372106544891059,-9.232361793518066
1.543186,-5.400706616469679,-1.2774025948532737,-0.028429722676658508,-9.158989906311035
1.550135,-5.4010984177157235,-1.2777943960993179,-0.05638088082781123,-9.1170654296875
1.558647,-5.401824832844225,-1.2785208112278195,-0.08533992154878396,-9.127547264099121
1.565894,-5.402736062894126,-1.2794320412777207,-0.12573943424203676,-9.14850902557373
1.574501,-5.403743861958812,-1.2804398403424067,-0.11709184621076339,-9.03321361541748
1.582087,-5.404284945144436,-1.2809809235280305,-0.07132652491655181,-8.970325469970703
1.589232,-5.40436551057494,-1.2810614889585343,-0.01127551494624256,-8.959843635559082
1.596703,-5.404364111879923,-1.2810600902635176,0.0001872204277424868,-8.90743637084961
1.603726,-5.404495445040771,-1.2811914234243655,-0.01870017998699793,-8.865510940551758
1.612819,-5.404627701840131,-1.2813236802237258,-0.014545210094495258,-8.792141914367676
1.619708,-5.404481997372985,-1.281177975756579,0.021150717428226763,-8.67684555053711
1.628845,-5.403923491503783,-1.2806194698873776,0.06112471039597186,-8.530106544494629
1.635721,-5.403252536257746,-1.2799485146413403,0.09757941304699579,-8.540586471557617
1.643216,-5.402451214856768,-1.2791471932403624,0.10691177775891914,-8.551068305969238
1.650114,-5.401975489204561,-1.278671467588155,0.06896647331523097,-8.561551094055176
1.65865,-5.401704902843012,-1.2784008812266068,0.031699060374467236,-8.519624710083008
1.665955,-5.401379833952641,-1.278075812336235,0.04450007334318468,-8.582512855529785
1.674262,-5.400707750160429,-1.277403728544023,0.08090591062540117,-8.498661994934082
1.681628,-5.399982969394435,-1.276678947778029,0.09839620863996792,-8.351922035217285
1.688698,-5.399214033402299,-1.2759100117858937,0.10875940202187827,-8.330960273742676
1.696258,-5.3985847612444005,-1.2752807396279948,0.0832368958013145,-8.278553009033203
1.703045,-5.398376523258537,-1.2750725016421312,0.03068161088488173,-8.22614574432373
1.712025,-5.398403407828507,-1.2750993862121014,-0.002993815461687717,-8.236626625061035
1.718928,-5.398485665244841,-1.2751816436284358,-0.011916299186992023,-8.121331214904785
